name,main_category,ratings,no_of_ratings,discount_price,text_for_embedding
VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men,footwear_mens,3.0,1,1299.0,footwear_mens:VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men
Centrino Mens 6017-01 Sneaker,footwear_mens,2.6,30,1079.0,footwear_mens:Centrino Mens 6017-01 Sneaker
Puma Unisex-Adult Electron 2.0 Walking Shoe,footwear_mens,4.4,3,4199.0,footwear_mens:Puma Unisex-Adult Electron 2.0 Walking Shoe
GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black),footwear_mens,1.4,4,584.0,footwear_mens:GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black)
LOUIS STITCH Men's Federal Blue Italian Suede Leather Loafer Tassel Penny Casual Loafers for Men (Prague SUTA) - 10 UK,footwear_mens,5.0,2,1699.0,footwear_mens:LOUIS STITCH Men's Federal Blue Italian Suede Leather Loafer Tassel Penny Casual Loafers for Men (Prague SUTA) - 10 UK
Puma Men's Cabimas Idp Sneakers,footwear_mens,3.8,86,2799.0,footwear_mens:Puma Men's Cabimas Idp Sneakers
Axter Men's Sports Sneakers Shoes,footwear_mens,3.0,2,349.0,footwear_mens:Axter Men's Sports Sneakers Shoes
Men's Elevator Height Increasing Brouge Casual Ankel Boots,footwear_mens,2.8,11,1799.0,footwear_mens:Men's Elevator Height Increasing Brouge Casual Ankel Boots
MAX Men Canvas Shoes (SU21MFCS1075GREY_GREY_41),footwear_mens,5.0,1,482.09,footwear_mens:MAX Men Canvas Shoes (SU21MFCS1075GREY_GREY_41)
Bond Street by (Red Tape) Mens Moccasins,footwear_mens,2.1,78,841.0,footwear_mens:Bond Street by (Red Tape) Mens Moccasins
"Bikers Boots : High Ankle Leather Boots for Men, Trekking, Hiking, Driving with High Performance Rubber Sole. Sizes 5 to 1...",footwear_mens,5.0,1,3500.0,"footwear_mens:Bikers Boots : High Ankle Leather Boots for Men, Trekking, Hiking, Driving with High Performance Rubber Sole. Sizes 5 to 1..."
Amico Men's Fashion Sandals White,footwear_mens,3.3,7,499.0,footwear_mens:Amico Men's Fashion Sandals White
Bourge Mens Magic-z9 Sneakers,footwear_mens,3.7,118,459.0,footwear_mens:Bourge Mens Magic-z9 Sneakers
Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top,apparel_womens,3.3,3,479.0,apparel_womens:Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top
Amante Every de Carefree Confidence T-Shirt Bra,apparel_womens,3.8,85,369.0,apparel_womens:Amante Every de Carefree Confidence T-Shirt Bra
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New),apparel_womens,3.8,386,419.0,apparel_womens:ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New)
