name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
LONGWAY Starlite-1 1200 mm/48 inch High Speed Anti-dust Technology Decorative 5 Star Rated Ceiling Fan 400 RPM with 3 Year...,appliances,All Appliances,https://m.media-amazon.com/images/I/71AChgnt-bL._AC_UL320_.jpg,https://www.amazon.in/Longway-Starlite-1-Anti-Dust-Decorative-Ceiling/dp/B09VP6PDR1/ref=sr_1_7860?qid=1679136035&s=appliances&sr=1-7860,2.7,14,"₹2,699","₹2,881"
HASTHIP 100 pcs/Lot New Non-Woven Fabrics Empty Tea Bag with String Heal Filter Paper,appliances,All Appliances,https://m.media-amazon.com/images/I/51xqAE4iREL._AC_UL320_.jpg,https://www.amazon.in/HASTHIP-100pcs-Non-Woven-Fabrics-String/dp/B07CZXCTHB/ref=sr_1_1496?qid=1679135676&s=appliances&sr=1-1496,4.0,290,₹296,₹357
KNL RO/NF Sediment and Activated Carbon Block (Pre Carbon) Filter/cartridges/Candle Set with pushfit Elbows Suitable for A...,appliances,All Appliances,https://m.media-amazon.com/images/I/81WOHdGtX2L._AC_UL320_.jpg,https://www.amazon.in/KNL-Sediment-Carbon-Block-Filter/dp/B07VGZWTJJ/ref=sr_1_9263?qid=1679136109&s=appliances&sr=1-9263,4.0,210,₹650,"₹1,200"
MGS 3 Meter Washing Machine Water PVC Inlet Hose Pipe for Front & Top Load Fully Automatic,appliances,All Appliances,https://m.media-amazon.com/images/I/51eL3vkm82L._AC_UL320_.jpg,https://www.amazon.in/MGS-Inlet-Automatic-Washing-Machine/dp/B01MY2ZAN6/ref=sr_1_4210?qid=1679135832&s=appliances&sr=1-4210,4.3,976,₹399,₹599
Havells Instanio 1-Litre Instant Geyser (White/Blue),appliances,All Appliances,https://m.media-amazon.com/images/I/51zfltcF4hL._AC_UL320_.jpg,https://www.amazon.in/Havells-Instanio-1-Litre-Instant-Geyser/dp/B078JBR5VJ/ref=sr_1_9025?qid=1679136097&s=appliances&sr=1-9025,3.9,56,"₹2,999","₹3,950"
"Bosch Vacuum Cleaner and Blower Gas 15 1100-Watt, Blue and Black",appliances,All Appliances,https://m.media-amazon.com/images/I/61eGo426tAL._AC_UL320_.jpg,https://www.amazon.in/Bosch-Vaccum-Cleaner-15-1100-Watt/dp/B00WE1I6WM/ref=sr_1_8026?qid=1679136044&s=appliances&sr=1-8026,4.2,272,"₹15,800","₹15,999"
"AGARO Regal & Regal Plus Filter and Multipurpose Brush, Dry Vacuuming",appliances,All Appliances,https://m.media-amazon.com/images/I/71ep99T2rOL._AC_UL320_.jpg,https://www.amazon.in/AGARO-Regal-Filter-Multipurpose-Vacuuming/dp/B09RQMQ4PT/ref=sr_1_3002?qid=1679135764&s=appliances&sr=1-3002,4.2,34,₹299,₹695
INALSA Sandwich Grill 750W Toast & Co| Adjustable Height Control With Floating Plates| Non Stick Coating | Automatic Tempe...,appliances,All Appliances,https://m.media-amazon.com/images/I/51WqHLoJfuL._AC_UL320_.jpg,https://www.amazon.in/Inalsa-Toast-Co-700-Watt-4-Slice/dp/B01LW4YCD3/ref=sr_1_2834?qid=1679135755&s=appliances&sr=1-2834,3.9,959,"₹1,784","₹2,295"
"Kuber Industries Fridge Appliance Set|Flower Design & PVC Material|3 Pieces Fridge Mats|1 Piece Fridge Top Cover, Set of 1...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81udX0UGNaL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Flower-Design-CTKTC33659/dp/B0839C2SXJ/ref=sr_1_5650?qid=1679135912&s=appliances&sr=1-5650,3.9,599,₹228.69,₹349
AUSHA® Portable Gament Iron Steamer for Clothes Dry And We Mini Handheld Press for Outing & Home,appliances,All Appliances,https://m.media-amazon.com/images/I/31kawpyBEML._AC_UL320_.jpg,https://www.amazon.in/AUSHA%C2%AE-Portable-Steamer-Clothes-Handheld/dp/B0BNBY9577/ref=sr_1_8487?qid=1679136069&s=appliances&sr=1-8487,1.0,1,₹899,"₹1,999"
